C,Biochar Hummers,C,Biochar Oxidizer,C,Coal EL Hummers,C,Coal EL Oxidizer,C,Coal EL Hummers Char,C,Coal EL Oxidizer Char,C,Coal Hummers,C,Coal Oxidizer,C,Coal Char Hummers,C,Coal Char Oxidizer
34.5,100,34.69,99.97,30.04,99.83,34.78,99.98,34.61,99.97,34.4,99.97,34.55,99.99,34.61,99.99,30.09,99.85,34.65,100
34.5,100,34.68,99.99,30.23,99.83,34.78,99.95,34.6,100,34.4,99.97,34.55,99.96,34.61,99.97,30.23,99.83,34.65,100
34.49,100,34.68,99.96,30.42,99.82,34.78,99.94,34.6,100,34.39,99.94,34.54,99.95,34.61,99.97,30.37,99.83,34.65,100
34.49,99.98,34.68,99.97,30.61,99.82,34.78,99.96,34.6,99.98,34.39,99.96,34.54,99.98,34.6,99.99,30.52,99.82,34.65,100
34.49,99.98,34.68,99.97,30.8,99.82,34.78,99.94,34.6,100,34.39,99.95,34.54,99.95,34.6,99.97,30.68,99.82,34.65,100
34.49,99.99,34.69,99.95,30.99,99.81,34.78,99.93,34.61,100,34.39,99.92,34.54,99.97,34.6,99.98,30.84,99.82,34.65,100
34.5,99.96,34.69,99.95,31.19,99.81,34.79,99.96,34.61,99.96,34.4,99.93,34.55,99.95,34.61,99.97,31,99.81,34.66,100
34.51,99.97,34.71,99.97,31.38,99.81,34.8,99.93,34.63,99.99,34.41,99.94,34.55,99.94,34.62,99.95,31.17,99.81,34.68,100
34.52,99.95,34.73,99.95,31.57,99.8,34.82,99.93,34.65,99.97,34.42,99.9,34.57,99.95,34.64,99.96,31.35,99.81,34.69,100
34.55,99.96,34.76,99.95,31.77,99.8,34.84,99.95,34.68,99.95,34.45,99.93,34.59,99.94,34.66,99.95,31.52,99.8,34.72,100
34.58,99.93,34.79,99.94,31.96,99.79,34.87,99.91,34.71,99.96,34.48,99.91,34.62,99.93,34.69,99.95,31.7,99.8,34.76,100
34.62,99.94,34.83,99.93,32.16,99.79,34.91,99.92,34.76,99.96,34.52,99.9,34.66,99.95,34.73,99.95,31.89,99.8,34.8,100
34.67,99.93,34.88,99.95,32.35,99.78,34.96,99.93,34.81,99.94,34.57,99.91,34.7,99.93,34.78,99.96,32.07,99.79,34.85,99.98
34.72,99.92,34.94,99.94,32.54,99.78,35.02,99.91,34.87,99.95,34.63,99.89,34.76,99.92,34.83,99.95,32.26,99.79,34.91,100
34.78,99.92,35,99.93,32.73,99.77,35.08,99.92,34.93,99.95,34.69,99.88,34.82,99.94,34.89,99.96,32.45,99.79,34.97,99.97
34.85,99.92,35.07,99.93,32.93,99.76,35.15,99.92,35,99.93,34.76,99.89,34.88,99.91,34.96,99.95,32.64,99.78,35.04,99.96
34.92,99.9,35.15,99.93,33.11,99.76,35.22,99.89,35.08,99.94,34.83,99.87,34.95,99.91,35.03,99.94,32.83,99.78,35.11,100
35,99.89,35.22,99.92,33.3,99.75,35.29,99.9,35.15,99.93,34.9,99.86,35.03,99.91,35.1,99.94,33.02,99.78,35.19,99.95
35.07,99.9,35.3,99.91,33.5,99.75,35.37,99.89,35.23,99.93,34.98,99.87,35.1,99.86,35.18,99.94,33.21,99.78,35.27,99.96
35.16,99.88,35.38,99.91,33.68,99.74,35.45,99.88,35.32,99.92,35.06,99.85,35.18,99.88,35.26,99.94,33.41,99.78,35.35,99.97
35.24,99.89,35.47,99.91,33.87,99.73,35.54,99.89,35.4,99.92,35.14,99.84,35.27,99.88,35.35,99.93,33.6,99.78,35.43,99.96
35.33,99.86,35.56,99.9,34.06,99.73,35.62,99.89,35.49,99.92,35.23,99.84,35.35,99.84,35.43,99.92,33.79,99.77,35.52,99.98
35.42,99.86,35.65,99.9,34.24,99.72,35.71,99.87,35.58,99.91,35.32,99.82,35.44,99.85,35.52,99.92,33.99,99.77,35.61,99.98
35.51,99.87,35.74,99.89,34.42,99.71,35.81,99.88,35.68,99.91,35.41,99.81,35.54,99.82,35.61,99.92,34.18,99.77,35.71,99.96
35.61,99.85,35.84,99.88,34.61,99.71,35.91,99.87,35.78,99.9,35.51,99.82,35.63,99.84,35.71,99.92,34.37,99.77,35.81,99.96
35.71,99.83,35.94,99.87,34.79,99.7,36.01,99.86,35.89,99.9,35.61,99.81,35.73,99.84,35.81,99.91,34.56,99.76,35.91,99.98
35.81,99.84,36.05,99.87,34.97,99.69,36.11,99.86,35.99,99.9,35.71,99.81,35.84,99.84,35.92,99.91,34.76,99.76,36.01,99.98
35.93,99.83,36.16,99.87,35.15,99.68,36.22,99.85,36.11,99.89,35.83,99.8,35.95,99.81,36.03,99.9,34.94,99.76,36.13,99.97
36.04,99.8,36.28,99.87,35.33,99.67,36.34,99.85,36.23,99.89,35.94,99.78,36.06,99.82,36.14,99.9,35.14,99.75,36.24,99.95
36.16,99.81,36.4,99.87,35.51,99.67,36.46,99.85,36.35,99.89,36.06,99.79,36.18,99.81,36.26,99.9,35.32,99.75,36.37,99.93
36.29,99.78,36.53,99.87,35.68,99.66,36.58,99.85,36.48,99.89,36.19,99.77,36.3,99.78,36.38,99.9,35.51,99.74,36.49,99.94
36.42,99.78,36.66,99.86,35.86,99.65,36.71,99.86,36.61,99.88,36.32,99.76,36.43,99.79,36.51,99.89,35.7,99.74,36.62,99.95
36.55,99.78,36.79,99.86,36.03,99.64,36.85,99.86,36.75,99.88,36.45,99.76,36.57,99.79,36.65,99.89,35.89,99.73,36.76,99.93
36.69,99.75,36.93,99.85,36.21,99.63,36.99,99.85,36.89,99.88,36.59,99.75,36.7,99.78,36.79,99.89,36.07,99.73,36.9,99.92
36.83,99.75,37.08,99.85,36.38,99.62,37.13,99.85,37.04,99.88,36.74,99.75,36.85,99.78,36.93,99.89,36.25,99.72,37.04,99.91
36.98,99.75,37.23,99.85,36.56,99.61,37.28,99.84,37.19,99.88,36.89,99.75,36.99,99.78,37.08,99.89,36.44,99.72,37.19,99.9
37.14,99.74,37.38,99.84,36.73,99.6,37.43,99.84,37.34,99.88,37.04,99.74,37.15,99.77,37.23,99.88,36.62,99.71,37.35,99.9
37.3,99.73,37.54,99.84,36.9,99.59,37.59,99.83,37.5,99.87,37.2,99.73,37.3,99.77,37.39,99.88,36.8,99.71,37.51,99.89
37.46,99.73,37.71,99.84,37.07,99.58,37.75,99.83,37.67,99.87,37.36,99.72,37.46,99.76,37.55,99.88,36.98,99.7,37.67,99.9
37.63,99.72,37.88,99.83,37.24,99.57,37.92,99.83,37.84,99.87,37.53,99.72,37.63,99.75,37.72,99.88,37.16,99.69,37.84,99.88
37.8,99.72,38.05,99.83,37.41,99.57,38.09,99.83,38.01,99.87,37.7,99.71,37.8,99.75,37.89,99.88,37.34,99.69,38.01,99.88
37.97,99.71,38.22,99.82,37.58,99.55,38.27,99.83,38.19,99.86,37.88,99.71,37.98,99.74,38.06,99.87,37.52,99.68,38.19,99.88
38.15,99.71,38.4,99.82,37.75,99.54,38.44,99.82,38.37,99.86,38.06,99.7,38.15,99.74,38.24,99.87,37.69,99.67,38.37,99.88
38.33,99.7,38.58,99.82,37.92,99.53,38.63,99.82,38.55,99.86,38.24,99.7,38.33,99.74,38.42,99.87,37.87,99.67,38.55,99.88
38.52,99.7,38.77,99.81,38.09,99.52,38.81,99.82,38.74,99.85,38.43,99.7,38.52,99.73,38.6,99.87,38.04,99.66,38.73,99.88
38.7,99.7,38.95,99.81,38.25,99.51,38.99,99.82,38.92,99.85,38.61,99.69,38.7,99.73,38.79,99.86,38.22,99.65,38.92,99.87
38.89,99.69,39.14,99.8,38.42,99.5,39.18,99.82,39.11,99.85,38.8,99.69,38.89,99.72,38.98,99.86,38.39,99.64,39.11,99.87
39.08,99.69,39.33,99.8,38.59,99.49,39.37,99.82,39.3,99.84,38.99,99.69,39.08,99.72,39.16,99.86,38.56,99.64,39.3,99.86
39.27,99.68,39.52,99.8,38.76,99.48,39.56,99.81,39.49,99.84,39.18,99.68,39.27,99.72,39.35,99.86,38.74,99.63,39.49,99.86
39.46,99.68,39.71,99.79,38.93,99.47,39.75,99.81,39.68,99.83,39.37,99.68,39.46,99.72,39.54,99.85,38.91,99.62,39.68,99.85
39.65,99.68,39.9,99.78,39.09,99.46,39.94,99.81,39.87,99.83,39.56,99.68,39.65,99.71,39.74,99.85,39.08,99.61,39.87,99.85
39.85,99.67,40.09,99.78,39.26,99.45,40.13,99.81,40.07,99.82,39.75,99.67,39.84,99.71,39.93,99.85,39.25,99.6,40.06,99.84
40.04,99.67,40.28,99.77,39.43,99.43,40.32,99.81,40.26,99.82,39.95,99.67,40.03,99.71,40.12,99.84,39.42,99.6,40.25,99.84
40.23,99.67,40.48,99.77,39.59,99.42,40.52,99.81,40.45,99.81,40.14,99.67,40.23,99.71,40.31,99.84,39.59,99.59,40.44,99.83
40.42,99.66,40.67,99.76,39.76,99.41,40.71,99.8,40.64,99.81,40.33,99.66,40.42,99.7,40.5,99.84,39.76,99.58,40.64,99.83
40.61,99.66,40.86,99.75,39.93,99.4,40.9,99.8,40.83,99.8,40.52,99.66,40.61,99.7,40.7,99.83,39.93,99.57,40.83,99.83
40.81,99.65,41.05,99.75,40.1,99.39,41.09,99.8,41.02,99.8,40.72,99.65,40.8,99.7,40.89,99.83,40.1,99.56,41.02,99.82
41,99.65,41.24,99.74,40.26,99.37,41.28,99.8,41.21,99.79,40.91,99.65,40.99,99.7,41.08,99.82,40.26,99.55,41.21,99.82
41.19,99.64,41.43,99.73,40.43,99.36,41.47,99.79,41.41,99.78,41.1,99.64,41.18,99.7,41.27,99.82,40.43,99.54,41.4,99.81
41.38,99.64,41.62,99.73,40.6,99.34,41.66,99.79,41.59,99.78,41.29,99.64,41.37,99.69,41.46,99.81,40.6,99.53,41.59,99.81
41.57,99.63,41.81,99.72,40.76,99.33,41.85,99.79,41.78,99.77,41.48,99.63,41.56,99.69,41.65,99.81,40.77,99.52,41.78,99.8
41.75,99.62,42,99.71,40.93,99.32,42.04,99.78,41.97,99.77,41.66,99.62,41.75,99.69,41.84,99.81,40.93,99.51,41.97,99.79
41.94,99.62,42.19,99.71,41.1,99.3,42.23,99.78,42.16,99.76,41.85,99.62,41.94,99.68,42.02,99.8,41.1,99.5,42.15,99.79
42.13,99.61,42.37,99.7,41.27,99.29,42.41,99.78,42.34,99.76,42.04,99.61,42.12,99.68,42.21,99.8,41.27,99.49,42.34,99.78
42.31,99.6,42.56,99.69,41.43,99.28,42.6,99.77,42.53,99.75,42.23,99.6,42.31,99.67,42.4,99.79,41.43,99.48,42.52,99.78
42.5,99.59,42.74,99.68,41.6,99.27,42.78,99.77,42.71,99.74,42.41,99.59,42.49,99.67,42.58,99.79,41.6,99.47,42.71,99.77
42.68,99.59,42.92,99.68,41.77,99.25,42.97,99.77,42.89,99.74,42.59,99.59,42.68,99.66,42.77,99.78,41.77,99.46,42.89,99.76
42.86,99.58,43.11,99.67,41.94,99.24,43.15,99.76,43.08,99.73,42.78,99.58,42.86,99.66,42.95,99.78,41.94,99.45,43.07,99.76
43.05,99.57,43.29,99.66,42.1,99.23,43.33,99.76,43.26,99.72,42.96,99.57,43.04,99.65,43.13,99.77,42.1,99.44,43.26,99.75
43.23,99.56,43.47,99.65,42.27,99.21,43.51,99.75,43.44,99.71,43.14,99.56,43.22,99.65,43.31,99.76,42.27,99.43,43.44,99.74
43.41,99.55,43.65,99.64,42.44,99.2,43.69,99.75,43.62,99.71,43.32,99.55,43.4,99.64,43.49,99.76,42.44,99.42,43.62,99.74
43.58,99.54,43.83,99.63,42.61,99.18,43.87,99.74,43.79,99.7,43.5,99.55,43.58,99.64,43.67,99.75,42.6,99.41,43.79,99.73
43.76,99.53,44.01,99.62,42.78,99.17,44.05,99.74,43.97,99.69,43.68,99.54,43.76,99.63,43.85,99.75,42.77,99.4,43.97,99.72
43.94,99.52,44.18,99.61,42.95,99.16,44.23,99.74,44.15,99.68,43.85,99.53,43.94,99.62,44.03,99.74,42.94,99.39,44.15,99.72
44.11,99.51,44.36,99.61,43.11,99.14,44.4,99.73,44.32,99.68,44.03,99.52,44.11,99.62,44.2,99.73,43.11,99.38,44.33,99.71
44.29,99.5,44.53,99.6,43.28,99.13,44.58,99.73,44.5,99.67,44.2,99.51,44.29,99.61,44.38,99.73,43.27,99.37,44.5,99.7
44.46,99.49,44.71,99.59,43.45,99.11,44.75,99.72,44.67,99.66,44.38,99.5,44.46,99.6,44.55,99.72,43.44,99.36,44.68,99.69
44.64,99.48,44.88,99.58,43.62,99.1,44.92,99.72,44.85,99.65,44.55,99.49,44.64,99.59,44.73,99.72,43.61,99.34,44.85,99.69
44.81,99.47,45.06,99.57,43.79,99.08,45.1,99.71,45.02,99.64,44.73,99.48,44.81,99.58,44.9,99.71,43.78,99.33,45.02,99.68
44.98,99.46,45.23,99.56,43.96,99.06,45.27,99.7,45.19,99.63,44.9,99.47,44.98,99.58,45.07,99.7,43.95,99.32,45.19,99.67
45.16,99.45,45.4,99.55,44.13,99.05,45.44,99.7,45.36,99.62,45.07,99.46,45.15,99.57,45.25,99.7,44.11,99.31,45.37,99.66
45.33,99.43,45.57,99.54,44.3,99.03,45.61,99.69,45.53,99.62,45.24,99.45,45.33,99.56,45.42,99.69,44.28,99.3,45.54,99.65
45.5,99.42,45.74,99.53,44.46,99.02,45.78,99.69,45.7,99.61,45.41,99.43,45.5,99.55,45.59,99.68,44.45,99.29,45.71,99.64
45.67,99.41,45.91,99.52,44.64,99,45.95,99.68,45.87,99.6,45.58,99.42,45.67,99.54,45.76,99.68,44.62,99.28,45.88,99.63
45.84,99.4,46.08,99.51,44.8,98.99,46.12,99.68,46.04,99.59,45.75,99.41,45.84,99.54,45.93,99.67,44.79,99.26,46.05,99.63
46.01,99.39,46.25,99.5,44.97,98.97,46.29,99.67,46.21,99.58,45.92,99.4,46.01,99.53,46.1,99.66,44.95,99.25,46.22,99.62
46.18,99.38,46.42,99.49,45.14,98.96,46.46,99.67,46.38,99.57,46.09,99.39,46.17,99.52,46.27,99.66,45.12,99.24,46.39,99.61
46.34,99.36,46.59,99.48,45.31,98.94,46.63,99.66,46.55,99.56,46.26,99.38,46.34,99.51,46.43,99.65,45.29,99.23,46.55,99.6
46.51,99.35,46.76,99.47,45.48,98.92,46.8,99.65,46.71,99.55,46.43,99.36,46.51,99.5,46.6,99.64,45.46,99.22,46.72,99.59
46.68,99.34,46.93,99.46,45.65,98.9,46.97,99.65,46.88,99.54,46.6,99.35,46.68,99.49,46.77,99.64,45.63,99.21,46.89,99.58
46.85,99.33,47.09,99.44,45.82,98.88,47.14,99.64,47.05,99.53,46.76,99.34,46.85,99.48,46.94,99.63,45.8,99.19,47.06,99.57
47.02,99.31,47.26,99.43,45.99,98.87,47.3,99.64,47.22,99.52,46.93,99.33,47.02,99.47,47.11,99.62,45.97,99.18,47.23,99.56
47.18,99.3,47.43,99.42,46.16,98.85,47.47,99.63,47.38,99.51,47.1,99.32,47.18,99.46,47.27,99.62,46.13,99.17,47.39,99.56
47.35,99.29,47.59,99.41,46.33,98.84,47.64,99.62,47.55,99.5,47.26,99.3,47.35,99.45,47.44,99.61,46.3,99.16,47.56,99.55
47.52,99.28,47.76,99.4,46.5,98.82,47.8,99.62,47.72,99.49,47.43,99.29,47.52,99.44,47.61,99.6,46.47,99.14,47.73,99.54
47.68,99.26,47.93,99.39,46.67,98.8,47.97,99.61,47.88,99.48,47.6,99.28,47.68,99.43,47.78,99.59,46.64,99.13,47.9,99.53
47.85,99.25,48.1,99.38,46.84,98.78,48.14,99.6,48.05,99.47,47.77,99.26,47.85,99.42,47.94,99.58,46.81,99.12,48.06,99.52
48.02,99.24,48.26,99.37,47.01,98.76,48.31,99.6,48.22,99.45,47.93,99.25,48.02,99.41,48.11,99.58,46.98,99.11,48.23,99.51
48.18,99.22,48.43,99.36,47.17,98.74,48.47,99.59,48.38,99.44,48.1,99.23,48.18,99.4,48.27,99.57,47.15,99.09,48.4,99.5
48.35,99.21,48.6,99.35,47.34,98.72,48.64,99.58,48.55,99.43,48.27,99.22,48.35,99.39,48.44,99.56,47.32,99.08,48.56,99.49
48.52,99.19,48.76,99.33,47.51,98.71,48.8,99.58,48.72,99.42,48.43,99.21,48.52,99.38,48.61,99.55,47.49,99.07,48.73,99.48
48.69,99.18,48.93,99.32,47.68,98.68,48.97,99.57,48.88,99.4,48.6,99.19,48.68,99.37,48.78,99.55,47.66,99.05,48.9,99.47
48.85,99.17,49.1,99.31,47.85,98.66,49.14,99.56,49.05,99.39,48.77,99.18,48.85,99.36,48.94,99.54,47.83,99.04,49.06,99.46
49.02,99.15,49.26,99.3,48.02,98.64,49.31,99.56,49.22,99.38,48.94,99.16,49.02,99.35,49.11,99.53,47.99,99.03,49.23,99.45
